13	18592+0108	35.20-1.74	190	2006	19	1	46.95	1	13	7.56	45.75	44.87	2.90	11.00	1?	0.32	41.68	3.70	0.68	0.252	0.535	1.202	1.41E-011	2.02E-010	2.01E+000	1.40E-001	1.17E-001	8.12E-003	42.60	595.00	536.4		43.60	1.83	5.10	43.10	9.10	0.70	6.30	-	-	-	-	
12	18556+0136	35.20-0.74	191	2006	18	58	13.13	1	40	34.50	40.46	40.48	2.00	11.90	1?	0.64	34.63	6.21	-3.16	0.376	1.797	2.669	2.49E-011	8.80E-010	4.08E-001	1.15E-002	1.78E-002	5.03E-004	37.90	64.00	91.8		-	-	-	-	-	-	-	-	-	-	-	
14	19012+0505	38.91-0.35	205	2008	19	3	40	5	9	29	44.73	44.03	2.30	11.00	1	0.40	39.04	3.47	1.17	0.236	0.627	1.532	1.06E-011	2.42E-010	9.63E-002	4.21E-003	3.24E-003	1.42E-004	32.3	5.4	3.9													
15	19078+0901	43.15+0.02	215	2008	19	10	15.31	9	6	8.45	53.38	51.21	0.90	11.50	1	0.50	7.61	13.48	-0.20	0.140	3.047	1.643	6.75E-012	1.10E-009	2.44E+000	1.49E-002	3.54E-002	2.17E-004	9.10	31.00	87.1		2.90	2.84	8.60	2.80	7.30	1.10	8.80					
16	19110+1045	45.07+0.13	218	2007	19	13	21.95	10	50	52.48	52.71	50.65	4.70	7.30	1	0.41	60.04	5.39	0.41	0.269	0.999	1.362	6.10E-011	1.47E-010	4.88E-001	2.02E-001	3.71E-002	1.54E-002	58.00	33.00	21.8		-	-	-	-	-	-	-	-	-	-	-	
17	19117+1107	45.49+0.13	221	2007	19	14	11.25	11	13	6.91	56.46	53.76	4.60	7.30	1	0.25	61.67	4.38	-0.01	0.129	0.495	0.782	2.73E-011	6.87E-011	2.80E-001	1.11E-001	1.72E-002	6.82E-003	57.20	13.40	21.8													
19	19213+1424	49.47-0.37	224	2007	19	23	38.26	14	30	9.01	42.66	42.31	5.50	5.50	1	1.08	61.70	10.29	-0.03	0.540	5.024	4.306	5.03E-010	5.03E-010	6.76E-001	6.76E-001	1.09E-001	1.09E-001	64.00	12.00														
20	19213+1424	49.49-0.39	225	2007	19	23	43.35	14	30	35.36	46.92	45.84	5.50	5.50	1	1.15	60.81	8.39	0.08	0.329	4.361	4.226	4.03E-010	4.03E-010	6.76E-001	6.76E-001	3.44E-002	3.44E-002	59.00	850.00														
18	19211+1432	49.55-0.25	226	2006	19	23	27.90	14	38	11.31	46.62	45.59	5.50	5.50	1?	0.45	53.52	4.46	0.40	0.135	0.907	1.663	8.43E-011	8.43E-011	5.58E-003	5.58E-003	5.02E-003	5.02E-003	62.80	29.00	75.9		-	-	-	-	-	-	-	-	-	-	-	
21	19270+1750	53.13+0.08	233	2006	19	29	13.8	17	56	15	55.7	53.13	1.90	8.30	1?	0.97	21.86	3.40	-0.49	0.108	1.491	3.070	1.42E-011	2.71E-010	4.77E-002	2.50E-003	8.39E-003	4.39E-004	23.8	1.9	1.1		-	-	-	-	-	-	-					
22	19282+1814	53.62+0.02	234	2007	19	30	28.05	18	20	52.95	63.90	59.94	1.50	8.60	1	0.39	23.32	1.59	0.20	0.334	0.280	1.092	1.47E-012	4.85E-011	9.61E-002	2.92E-003	1.12E-003	3.41E-005	18.70	6.30	3.0		23.60	0.78	2.30	-	-	-	-	23.00	3.60	7.50	1.90	
23	20198+3716	75.76+0.34	243	2006	20	21	40.1	37	25	37	64.04	60.05	-	4.9	1?	1.33	-1.05	5.01	2.06	0.368	3.012	3.718	#VALUE!	1.69E-010	2.07E-001	0.00E+000	1.21E-002	0.00E+000	-2.9	39	39.4		-0.40	2.38	5.70	-0.10	8.00	2.50	21.40					
24	20308+4104	79.75+0.99	246	2007	20	30	50.9	41	2	26	63.51	59.61	-	4.2	1	0.14	-1.93	6.05	-0.08	0.140	0.383	0.394	#VALUE!	1.59E-011	1.98E-003	0.00E+000	9.21E-005	0.00E+000	-4	21.2														
26	-	81.72+0.57	248	2008	20	39	0.70	42	22	50.00	50.00	48.40	-	2.90	1	1.45	-3.75	4.25	0.00	0.420	2.786	5.043	#VALUE!	6.78E-011	0.00E+000	0.00E+000	1.54E-003	0.00E+000	0.00	13.00						-	-	-	-					
27	-	81.76+0.59	249	2008	20	39	3.5	42	25	53	54.44	52.09	-	3.10	1	1.41	-3.63	4.06	1.14	0.295	2.588	4.553	#VALUE!	6.69E-011	0.00E+000	0.00E+000	1.59E-003	0.00E+000	-1	39														
25	-	81.87+0.78	250	2008	20	38	36.45	42	37	36.06	52.01	50.07	-	1.2	1	0.91	9.24	4.14	-0.26	0.211	1.703	3.058	#VALUE!	6.86E-012	0.00E+000	0.00E+000	8.46E-004	0.00E+000	6	1080														
28	21381+5000	94.58-1.79	253	2007	21	39	58.94	50	14	23.52	64.00	60.02	5.70	5.70	1	0.47	-44.35	2.84	0.01	0.226	0.603	1.315	4.58E-011	4.58E-011	5.56E-002	5.56E-002	3.71E-002	3.71E-002	-40.90	7.00	10.5		-	-	-	-43.90	6.40	0.30	2.20	-	-	-	-	
29	21413+5442	98.02+1.44	254	2006	21	43	1.35	54	56	16.26	62.50	58.78	7.50	7.50	1?	0.59	-63.47	3.82	-0.02	0.271	1.019	1.686	1.37E-010	1.37E-010	1.36E-001	1.36E-001	2.56E-002	2.56E-002	-61.60	3.30	1.5		-63.90	2.18	3.40	-	-	-	-	-	-	-	-	
30	22272+6358	108.18+5.51	255	2007	22	28	52.24	64	13	43.36	52.00	50.06	1.50	1.50	1	0.56	-10.26	2.24	-0.01	0.188	0.567	1.882	3.57E-012	3.57E-012	1.28E-003	1.28E-003	0.00E+000	0.00E+000	-10.90	91.00	47.4		-	-	-	-10.00	2.50	0.90	2.40	-	-	-	-	
