# all observed in 2010 sources
106.797+5.312	106.797+5.312-HCN14MHz.dat
34.3+0.2	34.3+0.2-HCN14MHz.dat
34.82+0.352	34.82+0.352-HCN14MHz.dat
34.403+0.233	34.403+0.233-HCN14MHz.dat
37.427+1.518	37.427+1.518-HCN14MHz.dat
45.07+0.13	45.07+0.13-HCN14MHz.dat
45.44+0.07	45.44+0.07-HCN14MHz.dat
45.47+0.07	45.47+0.07-HCN14MHz.dat
49.267-0.337	49.267-0.337-HCN14MHz.dat
49.485-0.359	49.485-0.359-HCN14MHz.dat
50.00+0.59	50.00+0.59-HCN14MHz.dat
53.032+0.117	53.032+0.117-HCN14MHz.dat
59.78+0.06	59.78+0.06-HCN14MHz.dat
59.832+0.671	59.832+0.671-HCN14MHz.dat
60.56-0.17	60.56-0.17-HCN14MHz.dat
69.541-0.975	69.541-0.975-HCN14MHz.dat
73.062+1.797	73.062+1.797-HCN14MHz.dat
75.76+0.34	75.76+0.34-HCN14MHz.dat
75.772+0.343	75.772+0.343-HCN14MHz.dat
78.10+3.64	78.10+3.64-HCN14MHz.dat
78.122+3.636	78.122+3.636-HCN14MHz.dat
81.76+0.59	81.76+0.59-HCN14MHz.dat
81.87+0.78	81.87+0.78-HCN14MHz.dat
81.877+0.784	81.877+0.784-HCN14MHz.dat
85.40-0.00	85.40-0.00-HCN14MHz.dat
94.259-0.411	94.259-0.411-HCN14MHz.dat
99.982+4.17	99.982+4.17-HCN14MHz.dat
108.18+5.51	108.18+5.51-HCN14MHz.dat
108.75-0.96	108.75-0.96-HCN14MHz.dat
108.596+0.493	108.596+0.493-HCN14MHz.dat
109.86+2.10	109.86+2.10-HCN14MHz.dat
110.093-0.065	110.093-0.065-HCN14MHz.dat
111.236-1.238	111.236-1.238-HCN14MHz.dat
111.542+0.777	111.542+0.777-HCN14MHz.dat
114.513-0.535	114.513-0.535-HCN14MHz.dat
121.28+0.65	121.28+0.65-HCN14MHz.dat
123.05-6.31	123.05-6.31-HCN14MHz.dat
133.94+1.04	133.94+1.04-HCN14MHz.dat
133.749+1.198	133.749+1.198-HCN14MHz.dat
136.84+1.12	136.84+1.12-HCN14MHz.dat
173.49+2.42	173.49+2.42-HCN14MHz.dat
173.69+2.87	173.69+2.87-HCN14MHz.dat
173.481+2.446	173.481+2.446-HCN14MHz.dat
174.19-0.09	174.19-0.09-HCN14MHz.dat
183.34+0.59	183.34+0.59-HCN14MHz.dat
188.79+1.02	188.79+1.02-HCN14MHz.dat
188.95+0.89	188.95+0.89-HCN14MHz.dat
189.032+0.785	189.032+0.785-HCN14MHz.dat
189.78+0.34	189.78+0.34-HCN14MHz.dat
192.60-0.05	192.60-0.05-HCN14MHz.dat
192.597-0.035	192.597-0.035-HCN14MHz.dat
194.934-1.227	194.934-1.227-HCN14MHz.dat
196.45-1.68	196.45-1.68-HCN14MHz.dat
203.316+2.055	203.316+2.055-HCN14MHz.dat
205.109-14.111	205.109-14.111-HCN14MHz.dat
206.538-16.358	206.538-16.358-HCN14MHz.dat
DR21(OH)	DR21(OH)-HCN14MHz.dat
DR21-West	DR21-West-HCN14MHz.dat
H05480+2545	H05480+2545-HCN14MHz.dat
IRAS05373+2349	IRAS05373+2349-HCN14MHz.dat
S235	S235-HCN14MHz.dat

# good sources
# bad and empty sources
34.3+0.2	34.3+0.2-HCN14MHz.dat
34.82+0.352	34.82+0.352-HCN14MHz.dat
34.403+0.233	34.403+0.233-HCN14MHz.dat
45.07+0.13	45.07+0.13-HCN14MHz.dat
45.44+0.07	45.44+0.07-HCN14MHz.dat
45.47+0.07	45.47+0.07-HCN14MHz.dat
49.267-0.337	49.267-0.337-HCN14MHz.dat
49.485-0.359	49.485-0.359-HCN14MHz.dat
50.00+0.59	50.00+0.59-HCN14MHz.dat
53.032+0.117	53.032+0.117-HCN14MHz.dat
59.832+0.671	59.832+0.671-HCN14MHz.dat
60.56-0.17	60.56-0.17-HCN14MHz.dat
73.062+1.797	73.062+1.797-HCN14MHz.dat
75.76+0.34	75.76+0.34-HCN14MHz.dat
75.772+0.343	75.772+0.343-HCN14MHz.dat
81.87+0.78	81.87+0.78-HCN14MHz.dat
99.982+4.17	99.982+4.17-HCN14MHz.dat
108.75-0.96	108.75-0.96-HCN14MHz.dat
108.596+0.493	108.596+0.493-HCN14MHz.dat
111.236-1.238	111.236-1.238-HCN14MHz.dat
114.513-0.535	114.513-0.535-HCN14MHz.dat
121.28+0.65	121.28+0.65-HCN14MHz.dat
136.84+1.12	136.84+1.12-HCN14MHz.dat
205.109-14.111	205.109-14.111-HCN14MHz.dat
DR21(OH)	DR21(OH)-HCN14MHz.dat
DR21-West	DR21-West-HCN14MHz.dat
