02244+6117 0,44 ( 6 )  -51,0 3,2 ( 2 )  0,6 ( 1 )  0,4 ( 1 )  2,2 RT-22c NN
02575+6017 5,8 ( 1 )  -38,6 2,41 ( 2 )  0,43 ( 2 )  0,22 ( 2 )  25,6 RT-22c YY
02593+6016 0,62 ( 6 )  -39,1 3,5 ( 2 )  0,7 ( 1 )  0,3 ( 1 )  4,6 OSO Y N
03035+5819 4,0 ( 1 )  -40,3 2,64 ( 5 )  0,45 ( 3 )  0,16 ( 3 )  19,9 RT-22 Y Y
03064+5638 1,7 ( 1 )  -41,1 1,73 ( 6 )  0,34 ( 5 )  0,23 ( 4 )  5,0 RT-22c NN
03236+5836 1,7 ( 1 )  -13,2 3,3 ( 1 )  0,57 ( 6 )  0,38 ( 5 )  14,2 OSO Y Y
03260+3111 0,70 ( 8 )  7,7 1,8 ( 1 )  0,8 ( 1 )  0,5 ( 1 )  3,8 OSO N N
04269+3510 0,54 ( 6 )  -1,7 2,2 ( 2 )  0,6 ( 1 )  0,2 ( 1 )  2,6 OSO N Y
04324+5106 1,7 ( 1 )  -37,3 3,0 ( 1 )  0,30 ( 6 )  0,35 ( 6 )  8,9 RT-22c NN
04329+5047 0,28 ( 6 )  -38,3 4,0 ( 4 )  0,8 ( 3 )  0,4 ( 2 )  3,6 OSO N N
05100+3723 0,5 ( 1 )  -7,1 3,4 ( 3 )  0,4 ( 1 )  0,0 ( 1 )  2,1 RT-22c NN
05197+3355 0,4 ( 1 )  -4,9 1,9 ( 2 )  0,8 ( 3 )  0,9 ( 3 )  1,6 RT-22c NN
05345+3157 0,65 ( 4 )  -19,0 2,1 ( 1 )  0,55 ( 7 )  0,13 ( 7 )  2,1 RT-22 Y Y
05355+3039 0,67 ( 7 )  -16,6 1,7 ( 1 )  0,6 ( 1 )  0,3 ( 1 )  2,1 RT-22c NN
05358+3543 3,0 ( 1 )  -18,3 2,5 ( 1 )  0,35 ( 5 )  0,17 ( 5 )  11,2 RT-22c YY
05375+3540 4,76 ( 4 )  -17,1 2,25 ( 2 )  0,35 ( 1 )  0,23 ( 1 )  20,5 OSOd YY
05377+3548 3,6 ( 3 )  -20,4 2,2 ( 1 )  0,6 ( 1 )  0,0 ( 1 )  10,8 RT-22c YN
05445+0016 0,5 ( 1 )  10,2 2,3 ( 3 )  0,6 ( 2 )  0,7 ( 2 )  4,5 OSO Y N
05480+2544 0,9 ( 1 )  -9,5 2,4 ( 2 )  0,8 ( 2 )  0,2 ( 1 )  3,7 OSO N N
05480+2545 2,8 ( 1 )  -9,4 3,31 ( 7 )  0,66 ( 5 )  0,35 ( 4 )  21,8 OSO N N
05490+2658 1,27 ( 6 )  0,6 2,8 ( 1 )  0,58 ( 6 )  0,30 ( 5 )  7,6 OSO N Y
05553+1631 0,51 ( 7 )  5,3 3,2 ( 3 )  0,2 ( 1 )  0,2 ( 1 )  2,5 OSO Y Y
06006+3015 1,45 ( 6 )  -9,1 3,5 ( 1 )  0,59 ( 5 )  0,21 ( 4 )  10,0 OSO Y N
06055+2039 1,1 ( 1 )  8,7 4,1 ( 2 )  0,6 ( 1 )  0,4 ( 1 )  10,9 OSO Y N
06056+2131 4,3 ( 1 )  2,6 3,82 ( 6 )  0,58 ( 3 )  0,24 ( 2 )  35,0 OSO Y Y
06058+2138 4,5 ( 2 )  3,4 4,24 ( 8 )  0,56 ( 4 )  0,41 ( 3 )  42,0 OSO Y Y
06061+2151 2,2 ( 1 )  -0,8 3,8 ( 1 )  0,43 ( 5 )  0,33 ( 4 )  16,7 OSO Y N
06063+2040 1,2 ( 1 )  8,8 2,5 ( 1 )  0,40 ( 6 )  0,16 ( 7 )  4,6 OSO N N
06073+1249 1,3 ( 1 )  25,2 2,9 ( 1 )  0,51 ( 8 )  0,36 ( 7 )  9,8 OSO N N
06099+1800 5,5 ( 2 )  6,8 3,9 ( 1 )  0,45 ( 4 )  0,34 ( 4 )  47,0 OSO Y Y
06105+1756 0,5 ( 1 )  7,7 2,2 ( 2 )  0,8 ( 2 )  0,2 ( 2 )  2,1 OSO N N
06114+1745 1,3 ( 1 )  7,4 3,0 ( 1 )  0,43 ( 7 )  0,25 ( 6 )  9,6 OSO N N
06117+1350 1,8 ( 1 )  18,2 4,6 ( 1 )  0,53 ( 6 )  0,26 ( 4 )  15,1 OSO Y N
06155+2319 0,8 ( 1 )  -5,6 2,4 ( 1 )  0,6 ( 1 )  0,0 ( 1 )  3,4 OSO N N
06308+0402 0,8 ( 1 )  15,8 2,3 ( 2 )  0,5 ( 1 )  0,2 ( 1 )  3,6 OSO Y Y
